爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
濞,[狀]形容水流洶湧奔至所發出的聲音。《說文解字．水部》：「濞，水暴至聲。」《文選．司馬相如．上林賦》：「滂濞沆溉。」《文選．左思．吳都賦》：「濞焉洶洶，隱焉礚礚。」[名]河川名。位於大陸地區雲南省境內，其流注入瀾滄江。
片,[名]扁平的東西。如：「相片兒」、「唱片兒」、「畫片兒」、「電影片兒」。
嬪,[名]1.古代對婦人的美稱。《周禮．天官．大宰》：「七曰嬪婦，化治絲枲。」漢．鄭玄．注：「嬪，婦人之美稱也。」2.古代帝王的妻妾之一。也指宮中的女官。如：「嬪妃」、「九嬪」。《禮記．曲禮下》：「天子有后，有夫人，有世婦，有嬪，有妻，有妾。」唐．顧況〈宮詞〉五首之二：「玉樓天半起笙歌，風送宮嬪笑語和。」[動]出嫁、為人婦。《書經．堯典》：「降二女于媯汭，嬪于虞。」
品,[形]眾多的。《說文解字．品部》：「品，眾庶也。」《易經．乾卦．彖曰》：「雲行雨施，品物流行。」[名]1.某一類東西的總稱。如：「物品」、「食品」、「成品」、「商品」。2.事物的種類。《書經．禹貢》：「厥貢惟金三品。」孔安國．傳：「金、銀、銅也。」南朝梁．劉勰《文心雕龍．原道》：「傍及萬品，動植皆文。」3.等級。如：「上品」、「極品」、「詩品」。4.古代官制中的階級。如：「一品」、「官品」。元．關漢卿《碧玉簫．秋景堪題曲》：「官品極，到底成何濟！」5.人的德性。如：「人品」、「學品」。6.姓。如明代有品嵒。[動]1.評量、評斷好壞優劣。如：「品詩」、「品文」。2.吹奏樂器。如：「品竹」、「品簫」。
牝,[名]1.雌性動物。《說文解字．牛部》：「牝，畜母也。」如：「牝牡」。《淮南子．時則》：「游牝別其群。」2.谿谷。《大戴禮記．易本命》：「高者為生，下者為死；丘陵為牡，谿谷為牝。」唐．韓愈〈贈崔立之評事〉詩：「可憐無益費精神，有似黃金擲虛牝。」3.女子陰戶。《二刻拍案驚奇》卷三五：「馬氏晚間取湯澡牝，正要上床與蔡鳳鳴快活。」[形]雌性的。如：「牝馬」。《書經．牧誓》：「牝雞無晨。」
甹,[名]輕財重義的俠士。同「俜」。《說文解字．丂部》：「甹，俠也。三輔謂輕財者為甹。」清．段玉裁．注：「今人謂輕生曰甹命，即此甹字。」
攴,[動]輕擊。《說文解字．攴部》：「攴，小擊也。」[名]二一四部首之一。
僕,[名]供人使喚的工役或車夫。如：「奴僕」、「僕人」。《詩經．小雅．正月》：「屢顧爾僕，不輸爾載。」唐．崔塗〈巴山道中除夜書懷〉詩：「漸與骨肉遠，轉於僮僕親。」[代]引申為自謙之詞。《文選．司馬遷．報任少卿書》：「僕雖罷駑，亦嘗側聞長者之遺風矣。」《文選．曹植．與楊德祖書》：「僕少小好為文章，迄至於今。」[動]駕車。《論語．子路》：「子適衛，冉有僕。」
璞,[名]1.未經琢磨加工的玉石。《孟子．梁惠王下》：「今有璞玉於此，雖萬鎰，必使玉人彫琢之。」晉．傅玄〈馬鈞傳〉：「美玉所以見誣為石，荊和所以抱璞而哭之也。」2.比喻人純樸的本質。如：「反璞歸真」。
馬,[名]1.動物名。脊椎動物門哺乳綱奇蹄目。四肢強健，每肢僅有一蹄，善跑，能載重行遠草食性，性溫和。2.計數的工具。通「碼」。如：「籌馬」、「法馬」。3.姓。如漢代有馬融，元代有馬致遠。4.二一四部首之一。
鎷,[名]德國科學家於西元一九二五年誤認發現原子序43的新元素，當時命名為鎷（masurium，Ma），但一九三七年美國科學家證明為誤，而由新發現的鎝所取代。
無,參見「南無」條。
万,參見「万俟」條。
歿,[動]死。如：「病歿」、「戰歿」。唐．白居易〈新樂府．杏為梁〉：「碧砌紅軒色未乾，去年身歿今移主。」唐．韓愈〈祭十二郎文〉：「中年，兄歿南方，吾與汝俱幼。」
冒,參見「冒頓」條。
麥,(一)之讀音。
莫,[副]1.表示禁止的用語，相當於「勿」、「毋」。如：「非請莫入」、「閒言莫說」。《三國志．卷二九．魏書．方技傳．華佗傳》：「君有急病見於面，莫多飲酒。」唐．李白〈將進酒〉：「人生得意須盡歡，莫使金樽空對月。」2.沒有。《論語．憲問》：「子曰：『莫我知也夫。』」《孟子．梁惠王上》：「晉國，天下莫強焉，叟之所知也。」3.不能、不可。如：「變化莫測」、「莫測高深」。[名]姓。如北魏有莫含，清代有莫友芝。
墨,[名]1.書畫用的黑色顏料。如：「石墨」、「筆墨」。元．王實甫《西廂記．第三本．第二折》：「一緘情淚紅猶溼，滿紙春愁墨未乾。」2.書畫用的各色顏料。如：「藍墨」、「紅墨」。3.文字、文章或知識。如：「胸無點墨」、「惜墨如金」、「舞文弄墨」。4.字畫的代稱。如：「墨寶」。宋．歐陽修〈唐顏魯公法帖〉：「此本墨蹟在予亡友王子野家。」5.古代肉刑之一。在罪人臉上刺刻染墨。《書經．呂刑》：「墨辟疑赦，其罰百鍰。」漢．孔安國．傳：「刻其顙而涅之曰墨刑。」6.墨家的簡稱。如：「儒墨」。《孟子．滕文公下》：「天下之言，不歸楊則歸墨。」7.姓。如戰國時宋國有墨翟。[形]1.黑色如墨的。如：「墨菊」、「墨綠」。《孟子．滕文公上》：「君薨，聽於冢宰，歠粥，面深墨。」2.貪汙的。如：「墨吏」。
薶,[動]埋藏。同「埋」。《漢書．卷三六．楚元王劉交傳》：「又多殺宮人，生薶工匠，計以萬數。」北周．庾信〈小園賦〉：「鎮宅神以薶石，厭山精而照鏡。」
霾,[名]懸浮於空氣中之煙、塵等微粒聚集形成的昏暗現象。唐．盧綸〈送惟良上人歸江南〉詩：「苦霧沉山影，陰霾發海光。」《紅樓夢》第七八回：「塵霾斂兮星高，溪山麗兮月午。」[動]1.大風揚塵土，從上而下。《詩經．邶風．終風》：「終風且霾，惠然肯來。」2.覆藏。通「埋」。《楚辭．屈原．九歌．國殤》：「霾兩輪兮縶四馬，援玉枹兮擊鳴鼓。」
買,[動]1.以金錢購進物產。如：「買田」、「買書」、「買空賣空」。唐．白居易〈琵琶行〉：「商人重利輕別離，前月浮梁買茶去。」唐．柳渾〈牡丹〉詩：「近來無奈牡丹何，數十千錢買一顆。」2.求取。《南史．卷六九．虞荔傳》：「寄聞之歎曰：『美盛德之形容，以申擊壤之情耳，吾豈買名求仕者乎？』」宋．蘇軾〈荔枝歎〉：「爭新買寵各出意，今年鬥品充官茶。」[名]姓。如五代有買叔午，宋代有買天英。
枚,[名]1.樹幹。《詩經．周南．汝墳》：「遵彼汝墳，伐其條枚。」唐．杜甫〈雨〉詩：「鮫館如鳴杼，樵舟豈伐枚。」2.古代行軍時，兵士橫銜於口中，以防止言語的箸。如：「銜枚疾走」。《詩經．豳風．東山》：「制彼裳衣，勿士行枚。」3.量詞：(1) 計算形體較小物品的單位。相當於「個」。如：「一枚銅板」、「兩枚郵票」。《文選．謝惠連．祭古冢文》：「棺上有五銖錢百餘枚。」《儒林外史》第二回：「只有周、梅二位的茶杯裡有兩枚生紅棗，其餘都是清茶。」(2) 計算火箭、彈藥的單位。如：「一枚炸彈」、「兩枚火箭」。4.姓。如漢代有枚乘。[副]一個一個的。如：「不勝枚舉」。
眉,[名]1.人的前額與上眼瞼連接處，橫形高超生有細毛的部分。如：「眉毛」、「八字眉」、「橫眉豎眼」、「舉案齊眉」。2.泛稱上端為「眉」。如：「書眉」。3.姓。如春秋時代有眉間尺。
湄,[名]水邊、岸邊。《詩經．秦風．蒹葭》：「所謂伊人，在水之湄。」元．周密〈繡鸞鳳花犯．楚江湄〉詞：「楚江湄，湘娥乍見，無言灑清淚。」
每,[形]各個。如：「每人」、「每件」、「每時每刻」。[副]1.常、往往。《文選．諸葛亮．出師表》：「每與臣論此事。」《晉書．卷六二．祖逖傳》：「祖逖，……年十四五猶未知書，諸兄每憂之。」2.凡是、只要。如：「每逢佳節倍思親」。宋．歐陽修〈蝶戀花．誰道閒情拋棄久〉詞：「誰道閒情拋棄久。每到春來，惆悵還依舊。」[名]姓。如漢代有每當時。
美,[形]1.漂亮、好看。如：「華美」、「貌美」、「她長得十分甜美。」2.好、善。如：「鮮美」、「完美」、「價廉物美」、「盡善盡美」。3.得意。如：「少臭美了！」[名]1.漂亮的女子。《詩經．鄭風．野有蔓草》：「有美一人，清揚婉兮。」2.泛指好的德性、事物等。如：「君子有成人之美」。《管子．五行》：「然後天地之美生。」3.美國的簡稱。如：「中、美、英、法。」4.美洲的簡稱。如：「南美」、「北美」、「歐美國家」。[動]1.誇讚、褒獎。如：「讚美」。《韓非子．五蠹》：「然則今有美堯、舜、湯、武、禹之道於當今之世者，必為新聖笑矣。」2.使變善變好。如：「養顏美容」。
沬,[名]1.地名。春秋時衛邑，故址在今大陸地區河南省淇縣。2.微明之光。《易經．豐卦．九三》：「豐其沛，日中見沬。」唐．陸德明《經典釋文．卷二．周易音義》：「沬，微昧之光也。」
妹,[名]1.稱謂：(1) 對同父母所生而比自己年幼的女子的稱呼。如：「么妹」、「姊妹」、「兄妹」。南朝梁．無名氏〈木蘭詩〉二首之一：「阿姊聞妹來，當戶理紅妝。」(2) 對同輩中較年幼的女子的稱呼。如：「表妹」、「堂妹」。2.女子對同輩的自謙之詞。如：「小妹我年幼無知，請多多指教。」3.泛指少女。《西遊記》第九五回：「這寶幢下乃月宮太陰星君，兩邊的仙妹是月裡嫦娥。」
寐,[動]睡。如：「假寐」、「夢寐以求」。《詩經．小雅．小宛》：「夙興夜寐，毋忝爾所生。」《公羊傳．僖公二年》：「寡人夜者寢而不寐。」
媚,[動]1.奉承、取悅、討好。如：「諂媚」。《國語．周語上》：「若是，乃能媚於神而和於民。」《史記．卷一二五．佞幸傳．序》：「非獨女以色媚，而士宦亦有之。」2.愛。《詩經．大雅．下武》：「媚茲一人。」三國魏．繁欽〈定情〉詩：「我既媚君姿，君亦悅我顏。」[形]嬌豔、美好、可愛。如：「嬌媚」、「嫵媚」、「風光明媚」。《文選．陸機．文賦》：「石韞玉而山輝，水懷珠而川媚。」
髦,[名]1.毛髮中較長者稱為「髦」。《爾雅．釋言》：「髦，選也。」宋．邢昺．疏：「毛中之長毫，曰髦。」2.比喻出眾的人才。唐．太宗〈令河北淮南諸州舉人詔〉：「江淮吳會，英髦斯在。」3.古代孩童下垂至眉的髮式。《詩經．鄘風．柏舟》：「髧彼兩髦，實維我儀。」漢．毛亨．傳：「髦者，髮至眉，子事父母之飾。」4.獸類頭頸上的長毛。《淮南子．原道》：「馬被髦而全足者，天也。」《山海經．南山經》：「有獸焉，其狀如狸而有髦。」5.古代用犛牛尾作裝飾的旗幟。通「旄」。《文選．張協．七命八首之三》：「建雲髦，啟雄芒。」唐．李善．注：「髦，與旄古字通。」[形]流行的、時興的。參見「時髦」條。
卯,[名]1.地支的第四位。2.時辰名。約當早晨五點到七點。3.古代官署例定在卯時進行的報到點名等活動的代稱。如點名稱為「點卯」，點名冊稱為「卯簿」、「卯冊」。《水滸傳》第一○一回：「一日，王慶五更入衙畫卯，幹辦完了執事，閒步出城南。」4.參見「卯眼」條。[動]對上。如：「他倆卯上了。」
楙,[名]植物名。薔薇科木瓜屬，「木瓜」之古稱，參見「木瓜」條。《爾雅．釋木》：「楙，木瓜。」晉．郭璞．注：「實如小瓜，酢可食。」[形]林木茂盛的樣子。《漢書．卷二一．律曆志上》：「助蕤賓君主種物使長大楙盛也。」
懋,[副]勤勉努力的。《書經．盤庚下》：「無戲怠，懋建大命。」《國語．周語中》：「叔父其懋昭明德，物將自至。」[動]勸勉。《國語．晉語四》：「懋穡勸分，省用足財。」三國吳．韋昭．注：「懋，勉也。」[形]1.盛大的。如：「懋勛」、「懋績」。唐．李適〈汾陰后土祠作〉詩：「號令垂懋典，舊經備闕文。」2.美。《後漢書．卷三．章帝紀》：「郡國所上符瑞，合於圖書者數百千所。烏呼懋哉！」[名]姓。如明代有懋國輔。
牟,[形]1.形容牛叫聲。《說文解字．牛部》：「牟，牛鳴也。」唐．韓愈、孟郊〈征蜀聯句〉：「椎肥牛呼牟。」2.大。《呂氏春秋．有始覽．謹聽》：「賢者之道，牟而難知，妙而難見。」[動]1.獲取。如：「牟取」、「牟利」。《史記．卷二八．平準書》：「富商大賈無所牟大利。則反本。」2.齊等。通「侔」。《漢書．卷五七．司馬相如傳下》：「德牟往初，功無與二。」[名]1.大麥。通「麰」。《詩經．周頌．思文》：「貽我來牟，帝命率育。」2.姓。如宋代有牟景先。
